,old_PUC,Category,Product,Refined,description,type,fHands,fBody,sum_f,fRinseH,fwipeH,sum_H,fRinseB,fWipeB,Sum_B,fRinseS,fWipeS,Sum_S,AllHands,new_PUC
159,P.LY.090.003,landscape/yard,pool chemicals,chlorinating,"chlorinating products for pools, hot tubs, and spas",XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,1,0,1,NA,LY.0700.010.031.F
160,P.LY.090.022,landscape/yard,pool chemicals,ph control,"ph control products for pools, hot tubs, and spas",XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,1,0,1,NA,LY.0700.010.032.F
161,P.LY.090.025,landscape/yard,pool chemicals,shock,"shock products for pools, hot tubs, and spas",XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,1,0,1,NA,LY.0700.010.033.F
162,P.LY.090.999,landscape/yard,pool chemicals,NOC,"products not otherwise characterized for pools, hot tubs, and spas",XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,1,0,1,NA,LY.0700.010.099.F
163,P.LY.100.000,landscape/yard,potting soil,,potting soil and vermiculite,DIS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0600.040.099.F
164,P.LY.110.000,landscape/yard,surface deicer,,products for deicing surfaces,LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.97,0,0.97,NA,LY.0800.010.099.F
165,P.LY.120.000,landscape/yard,trees,,miscellaneous tree care products including sealers,LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,LY.0600.050.099.F
166,P.PC.010.029,personal care,acne spot treatment,spray,creams and wipes for spot-treating acne (spray or aerosol formulation specified,SBS,0.05,0.95,1,0.99,0,0.99,0,0,0,0,0,0,NA,PC.0100.010.050.F
167,P.PC.010.999,personal care,acne spot treatment,NOC,creams and wipes for spot-treating acne,LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,NA,PC.0100.010.099.F
168,P.PC.020.000,personal care,aftershave,,"lotions, balms, liquids, and gels for post-shave applications (usually fragranced)",LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,NA,PC.2700.040.099.F
169,P.PC.030.000,personal care,baby lotion,,baby cream or lotion (excluding diaper creams),LBS,0.1,0.7,0.8,0,0,0,0,0,0,0,0,0,1,PC.0800.010.001.F
170,P.PC.040.000,personal care,baby oil,,skin oils specifically marketed for babies,LBS,0.1,0.7,0.8,0,0,0,0,0,0,0,0,0,1,PC.0800.020.001.F
171,P.PC.040.000,personal care,baby oil,,skin oils specifically marketed for babies,LBS,0.1,0.7,0.8,0,0,0,0,0,0,0,0,0,1,PC.0800.020.001.F
172,P.PC.050.000,personal care,baby powder,,powders specifically marketed for babies,DBS,0,1,1,0,0,0,0.99,0,0.99,0,0,0,NA,PC.0800.030.001.F
173,P.PC.060.000,personal care,baby shampoo,,shampoos specifically marketed for babies,LBS,0.1,0.7,0.8,0,0,0,0.99,0,0.99,0,0,0,1,PC.0800.040.001.F
174,P.PC.060.000,personal care,baby shampoo,,shampoos specifically marketed for babies,LBS,0.1,0.7,0.8,0,0,0,0.99,0,0.99,0,0,0,1,PC.0800.040.001.F
175,P.PC.070.000,personal care,baby wash,,body washes and cleaners specifically marketed for babies,LBS,0.1,0.7,0.8,0,0,0,0.99,0,0.99,0,0,0,1,PC.0800.050.001.F
176,P.PC.070.000,personal care,baby wash,,body washes and cleaners specifically marketed for babies,LBS,0.1,0.7,0.8,0,0,0,0.99,0,0.99,0,0,0,1,PC.0800.050.001.F
177,P.PC.080.000,personal care,baby wipes,,diaper and other baby wipes,LBS,0.1,0.7,0.8,0,0,0,0,0.5,0.5,0,0,0,NA,PC.0800.060.001.F
178,P.PC.080.000,personal care,baby wipes,,diaper and other baby wipes,LBS,0.1,0.7,0.8,0,0,0,0,0.5,0.5,0,0,0,NA,PC.0800.060.001.F
179,P.PC.090.000,personal care,bar soap,,bar and other solid soaps,SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,1,PC.0500.010.099.F
